Date,OpenNestleind,HighNestleind,LowNestleind,CloseNestleind,VolumeNestleind
24-04-2018 04:45,8929.35,8929.35,8852.8,8902.75,6688
24-04-2018 05:45,8899.6,8899.6,8839.25,8855.85,5253
24-04-2018 06:45,8855.85,8856.15,8815,8815,4189
24-04-2018 07:45,8825.1,8860,8808.95,8828.35,4748
24-04-2018 08:45,8828.3,8838.2,8809.55,8811.75,10362
24-04-2018 09:45,8811.25,8840,8811.25,8822.05,6514
25-04-2018 03:45,8846,8900,8846,8875.85,6333
25-04-2018 04:45,8869.65,8895,8845.1,8856,16838
25-04-2018 05:45,8856,8861.2,8767.3,8769,5647
25-04-2018 06:45,8769,8788.25,8749.85,8774.85,39611
25-04-2018 07:45,8775,8786.85,8745.9,8749.35,3179
25-04-2018 08:45,8749.2,8750,8662.2,8713.5,8005
25-04-2018 09:45,8719.75,8790,8714.4,8734.55,4615
26-04-2018 03:45,8771.65,8998.75,8771.65,8998.75,16501
26-04-2018 04:45,9000,9042.2,9000,9033,12907
26-04-2018 05:45,9033.5,9170.1,9033,9129,22670
26-04-2018 06:45,9134,9189,9120.4,9163.4,18348
26-04-2018 07:45,9165.8,9170,9129.8,9129.8,12017
26-04-2018 08:45,9130,9130,9020,9026.1,29909
26-04-2018 09:45,9025.7,9067.3,8983.4,9020,20059
27-04-2018 03:45,9072.5,9129,9010.75,9034,9986
27-04-2018 04:45,9027.1,9042.1,9007.5,9031.9,6803
27-04-2018 05:45,9028,9058.9,9025.3,9026.85,3161
27-04-2018 06:45,9025,9075,9025,9074,3928
27-04-2018 07:45,9078.8,9078.8,9045.1,9056.8,2081
27-04-2018 08:45,9059,9099,9049.95,9061.95,9288
27-04-2018 09:45,9064.6,9090,9052.95,9061.7,3638
30-04-2018 03:45,9099.6,9179,9072,9155.05,8126
30-04-2018 04:45,9157.9,9196.95,9147.2,9182.1,3629
30-04-2018 05:45,9182.1,9342.9,9172.85,9316.65,15047
30-04-2018 06:45,9323.9,9365,9300,9315.1,7403
30-04-2018 07:45,9320,9395.1,9317.05,9370.05,8894
30-04-2018 08:45,9370.05,9396.6,9328,9391.75,10770
30-04-2018 09:45,9398.85,9446.7,9393.5,9396.55,12994
02-05-2018 03:45,9415,9497,9281,9318.75,15024
02-05-2018 04:45,9311.2,9334.8,9294.05,9326,7377
02-05-2018 05:45,9325.95,9325.95,9284.5,9296.9,4608
02-05-2018 06:45,9283.65,9327.75,9283.65,9324.05,4883
02-05-2018 07:45,9325,9339.95,9278.85,9299.7,13238
02-05-2018 08:45,9298.95,9299.85,9195,9200,12149
02-05-2018 09:45,9200,9206.4,9195,9201.25,5615
03-05-2018 03:45,9267.9,9276.1,9147.9,9195.95,13425
03-05-2018 04:45,9195,9200,9183.75,9186.7,5016
03-05-2018 05:45,9185.9,9196,9166.5,9193.4,2114
03-05-2018 06:45,9193.35,9199,9154.55,9157.5,4843
03-05-2018 07:45,9140.05,9166.65,9116.5,9136.5,6320
03-05-2018 08:45,9134,9150,9100,9123,8583
03-05-2018 09:45,9124,9124,9070,9098.65,5875
04-05-2018 03:45,9140.2,9140.2,9096.45,9130,14432
04-05-2018 04:45,9130,9136.8,9085,9102.3,3987
04-05-2018 05:45,9107.35,9113,9085,9107.9,1031
04-05-2018 06:45,9108,9114.7,9098.05,9100,2024
04-05-2018 07:45,9100,9109,9095.05,9109,1336
04-05-2018 08:45,9103,9115,9103,9105.05,5329
04-05-2018 09:45,9108.1,9125,9107,9125,5534
07-05-2018 03:45,9117.3,9117.3,9022,9072.1,5788
07-05-2018 04:45,9075,9114.7,9072,9083.9,2547
07-05-2018 05:45,9080.05,9100,9070.8,9083.25,1148
07-05-2018 06:45,9089.9,9095,9075.65,9075.65,18146
07-05-2018 07:45,9080,9103.25,9073,9099.25,2424
07-05-2018 08:45,9099.75,9110,9089.75,9096.45,17431
07-05-2018 09:45,9091,9097,9089.95,9091,8727
08-05-2018 03:45,9174.95,9174.95,9091.7,9100,37788
08-05-2018 04:45,9100,9110,9093.05,9110,4958
08-05-2018 05:45,9110,9115,9100,9110.05,9452
08-05-2018 06:45,9110.2,9123.65,9105.75,9114.55,8317
08-05-2018 07:45,9110,9118,9103,9117,4752
08-05-2018 08:45,9115.85,9170,9110.05,9115,20558
08-05-2018 09:45,9118.95,9120,9104.7,9117.7,5772
09-05-2018 03:45,9099.9,9147,9099.05,9099.4,6584
09-05-2018 04:45,9099,9101.7,9091.95,9096,1644
09-05-2018 05:45,9095.9,9140,9093.95,9109,3880
09-05-2018 06:45,9120.65,9145,9101.55,9115.95,4054
09-05-2018 07:45,9114.6,9127.75,9097.7,9100,1230
09-05-2018 08:45,9099,9130,9099,9119.8,4176
09-05-2018 09:45,9119,9160,9108.35,9120.75,2905
10-05-2018 03:45,9140.05,9215,9105,9130.65,12226
10-05-2018 04:45,9115,9128.15,9027.95,9053.05,4875
10-05-2018 05:45,9051.5,9123.5,9050.05,9090.6,5226
10-05-2018 06:45,9090.6,9094.1,8989,9016.65,4498
10-05-2018 07:45,9005.05,9041.45,9000,9007.75,3891
10-05-2018 08:45,9005.1,9025.15,8980,8990,8013
10-05-2018 09:45,8985.6,9025,8937.65,8981.55,5483
11-05-2018 03:45,9229.95,9619.7,9155,9611,114478
11-05-2018 04:45,9608.2,9614.95,9515,9553.15,23870
11-05-2018 05:45,9555,9590.2,9511.6,9575.5,14372
11-05-2018 06:45,9571.05,9579.6,9545.1,9566,7380
11-05-2018 07:45,9566.05,9569.95,9550,9551.05,7786
11-05-2018 08:45,9550.95,9557.15,9468.4,9508.85,29369
11-05-2018 09:45,9515.45,9548,9472.1,9523,9990
14-05-2018 03:45,9520,9602.55,9509.95,9543.55,17236
14-05-2018 04:45,9544.75,9579.85,9523,9548.95,5435
14-05-2018 05:45,9541.4,9545,9522,9530,4008
14-05-2018 06:45,9526.35,9580,9525,9563.9,6430
14-05-2018 07:45,9563.9,9566,9545.2,9553,2666
