Date,OpenHdfcbank,HighHdfcbank,LowHdfcbank,CloseHdfcbank,VolumeHdfcbank
22-05-2018 08:45,996.5,997.925,994.775,995.2,186779
22-05-2018 09:45,995.6,995.8,992.775,994.95,63840
23-05-2018 03:45,993.35,995,986.025,988.525,481228
23-05-2018 04:45,988.5,990.95,987.475,989.5,92377
23-05-2018 05:45,989.5,990.95,988.675,988.825,165885
23-05-2018 06:45,988.825,989.125,985.5,988.275,121532
23-05-2018 07:45,989.3,990.5,986.625,990.025,210543
23-05-2018 08:45,989.875,989.875,983.225,983.7,253374
23-05-2018 09:45,983.6,984.225,982.175,983.75,97708
24-05-2018 03:45,983.575,988.3,980.5,982.5,144737
24-05-2018 04:45,982.625,987,980.725,982.875,101020
24-05-2018 05:45,982.25,983.175,978.6,979,110223
24-05-2018 06:45,979,981.025,978.3,980.725,218159
24-05-2018 07:45,980.9,988.4,980.9,983.15,192513
24-05-2018 08:45,983.875,994.25,983.75,992.05,226139
24-05-2018 09:45,991.85,995,990.3,993,135314
25-05-2018 03:45,995.7,1003.675,995.7,1000.525,185289
25-05-2018 04:45,1000.5,1001.175,998,1000,125934
25-05-2018 05:45,1000,1000.5,998.6,999.925,124056
25-05-2018 06:45,999.725,1002.075,999.5,1002.075,164275
25-05-2018 07:45,1002,1008,1001.25,1007.5,309035
25-05-2018 08:45,1007.075,1007.45,1003.1,1003.225,170319
25-05-2018 09:45,1003.075,1005.275,1002.125,1004,100932
28-05-2018 03:45,1004.95,1015,1004.95,1011.975,215978
28-05-2018 04:45,1011.95,1016.975,1011.75,1013.675,118427
28-05-2018 05:45,1014.2,1019.05,1013.05,1018.825,153349
28-05-2018 06:45,1018.875,1022.125,1017.975,1021.25,303684
28-05-2018 07:45,1021.25,1022.5,1020.275,1022.075,107671
28-05-2018 08:45,1022.1,1025.8,1020.5,1022.5,226904
28-05-2018 09:45,1022.275,1022.725,1017.65,1021.1,146856
29-05-2018 03:45,1019,1020.525,1016.25,1017.95,97159
29-05-2018 04:45,1017.575,1024,1017.225,1023.525,148631
29-05-2018 05:45,1023.525,1026,1022.75,1023.65,121920
29-05-2018 06:45,1024,1026.275,1021.75,1023.425,132479
29-05-2018 07:45,1023.4,1023.4,1019.5,1019.5,177896
29-05-2018 08:45,1019.55,1020.1,1014.525,1015.575,107645
29-05-2018 09:45,1015.775,1017.25,1015,1016.3,50947
30-05-2018 03:45,1009.8,1023.2,1009.5,1020,289493
30-05-2018 04:45,1019.55,1019.55,1016,1018.625,120883
30-05-2018 05:45,1018.65,1022,1017.2,1019.125,126820
30-05-2018 06:45,1019.3,1025,1018.6,1024.8,230078
30-05-2018 07:45,1024.95,1025.25,1017.5,1017.65,201568
30-05-2018 08:45,1017.475,1022.725,1017.25,1022.5,149141
30-05-2018 09:45,1023.35,1026.4,1023.225,1025.275,95077
31-05-2018 03:45,1047.95,1062.1,1040.075,1044.8,1780092
31-05-2018 04:45,1044.325,1045,1041.3,1044.475,572877
31-05-2018 05:45,1044.475,1049.225,1044,1046.625,456380
31-05-2018 06:45,1046.575,1052.275,1046.575,1051.05,658616
31-05-2018 07:45,1051.5,1054.8,1050,1051.85,684378
31-05-2018 08:45,1052.05,1072,1050.5,1072,3068067
31-05-2018 09:45,1073.45,1079.4,1064.1,1067,2604545
01-06-2018 03:45,1057,1068.85,1050.8,1066.375,1968180
01-06-2018 04:45,1066,1066,1060.65,1060.65,401729
01-06-2018 05:45,1061,1062.45,1057.625,1058.55,401466
01-06-2018 06:45,1058.95,1060.875,1053.75,1053.85,434331
01-06-2018 07:45,1053.775,1058.425,1051.675,1053.25,557713
01-06-2018 08:45,1053.275,1064.475,1051.875,1056.4,1062932
01-06-2018 09:45,1056,1057.425,1053.15,1055.3,436224
04-06-2018 03:45,1074.075,1074.625,1029.875,1037.725,13175208
04-06-2018 04:45,1037.675,1044.8,1037.675,1042.65,2257223
04-06-2018 05:45,1042.825,1046.5,1039.975,1043.15,1135736
04-06-2018 06:45,1043.05,1045.475,1036.5,1036.75,989535
04-06-2018 07:45,1036.225,1039.6,1031.75,1032,1479279
04-06-2018 08:45,1030.95,1034.5,1019.2,1023.9,2392028
04-06-2018 09:45,1022.525,1025.7,1021,1021,614131
05-06-2018 03:45,1025.45,1033.425,1020.5,1025.425,881658
05-06-2018 04:45,1025.225,1025.225,1011.5,1017.225,660511
05-06-2018 05:45,1017.175,1027.95,1017.175,1025,517918
05-06-2018 06:45,1025.225,1028.825,1022.075,1024.925,602731
05-06-2018 07:45,1025,1028.375,1020.4,1023.475,500977
05-06-2018 08:45,1022.65,1032.65,1020.5,1031.325,805929
05-06-2018 09:45,1030.5,1033.3,1030.5,1032.9,299485
